week,season,market_id,region,channel,sku_id,brand,category,base_price,price,discount_pct,display,distribution,stockout,active,size_index,quality_index,brand_equity,margin_pct,category_week_market_avg_price,relative_price,season_high,season_medium,Sensibles al precio,Promo seekers,Leales a marca,Conveniencia,utility_Sensibles al precio,utility_Promo seekers,utility_Leales a marca,utility_Conveniencia,prob_Sensibles al precio,prob_Promo seekers,prob_Leales a marca,prob_Conveniencia,predicted_share,inside_share,base_category_demand,units,revenue,gross_profit
1,Baja,MKT_1,Centro,Moderno,SKU_1,Marca_4,Cuidado personal,34.26,32.17,0.0,0,0.704,0,1,1.5,1.059,0.656,0.222,32.17,1.0,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,0.7127696384609504,1.0263987235892238,2.214456775056111,1.865570652631927,1.0,1.0,1.0,1.0,1.0,0.625,753.6487344761154,471.0304590475721,15153.049867560396,3363.977070598408
1,Baja,MKT_1,Centro,Moderno,SKU_2,Marca_3,Lácteos,105.95,108.13,0.0,0,0.908,0,1,1.5,0.786,1.151,0.195,108.13,1.0,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,1.1602930842658636,0.9356243252124468,2.7069336832052646,1.9553289555378681,1.0,1.0,1.0,1.0,1.0,0.625,751.2877236358834,469.55482727242713,50772.963472967545,9900.727877228672
1,Baja,MKT_1,Centro,Moderno,SKU_3,Marca_4,Botanas,34.09,31.15,0.1,1,0.843,0,1,0.8,1.07,1.112,0.182,74.49333333333334,0.41815822444961515,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,2.9620760111078654,2.9380341301326265,3.5333770480555358,2.7192357223587638,0.8160386285170572,0.8039596623159393,0.41561104412122657,0.5110403101306367,0.6743589597329153,0.421474349833072,849.3884680766381,357.9954523383101,11151.558340338359,2029.5836179415812
1,Baja,MKT_1,Centro,Moderno,SKU_4,Marca_1,Bebidas,70.1,72.69,0.0,0,0.955,0,1,1.2,0.784,0.792,0.279,91.755,0.7922184077162008,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,1.5029192598884846,1.1264083329538972,2.3824942648884346,1.9272262777208498,0.6568138755199862,0.43003227701029945,0.48572277825695337,0.5095617653596957,0.499241292776533,0.31202580798533314,762.1602948925495,237.81368182818753,17286.67653209095,4822.982752453376
1,Baja,MKT_1,Centro,Moderno,SKU_5,Marca_3,Limpieza,68.99,65.57,0.05,0,0.767,0,1,1.5,0.98,1.36,0.364,44.02333333333333,1.4894374195502385,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,0.5273819447758648,0.8744577654643539,2.853489461319661,1.9079705464554246,0.14743824000008726,0.20708896816547948,0.25067712191423824,0.2277601494628487,0.20858193116936308,0.13036370698085192,769.0797554293581,100.2600878816981,6574.053962402943,2392.9556423146714
1,Baja,MKT_1,Centro,Moderno,SKU_6,Marca_1,Botanas,114.63,106.9,0.0,0,0.845,0,1,1.5,1.038,0.885,0.184,74.49333333333334,1.4350277429747629,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,0.4341106948357166,0.5982341165312202,2.485639630314032,1.6007387452981316,0.0651372365978435,0.0774590247060021,0.14576743125855438,0.16699293311213845,0.10009067453993498,0.06255667158745937,849.3884680766381,53.13491544764546,5680.1224613533,1045.1425328890073
1,Baja,MKT_1,Centro,Moderno,SKU_7,Marca_2,Limpieza,40.31,34.01,0.15,0,1.0,0,1,1.5,0.773,0.995,0.189,44.02333333333333,0.772544862572878,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,1.762315295659733,1.5220036857039723,3.1057083513129617,2.137333004228625,0.5069146910048484,0.39571506485397395,0.3225907958624181,0.2864762274505553,0.3916439961746744,0.2447774976091715,769.0797554293581,188.2534179958719,6402.498746039603,1210.072263001485
1,Baja,MKT_1,Centro,Moderno,SKU_8,Marca_1,Limpieza,34.13,32.49,0.05,0,1.0,0,1,1.5,0.887,1.02,0.328,44.02333333333333,0.7380177178768835,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,1.379390791209164,1.5257390451302466,3.3854800913480663,2.665399580589623,0.34564706899506437,0.39719596698054654,0.42673208222334374,0.4857636230865961,0.3997740726559627,0.2498587954099767,769.0797554293581,192.1613412657789,6243.321977725157,2047.8096086938515
1,Baja,MKT_1,Centro,Moderno,SKU_9,Marca_5,Botanas,96.39,85.43,0.05,0,0.849,0,1,1.0,0.937,1.427,0.376,74.49333333333334,1.146814032575622,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,1.0352588602889845,1.0240839441875382,3.587264125784471,2.257235550800945,0.11882413488509935,0.11858131297805856,0.43862152462021914,0.3219667567572249,0.22555036572714987,0.14096897857946866,849.3884680766381,119.7374247619433,10229.168197412817,3846.167242227219
1,Baja,MKT_1,Centro,Moderno,SKU_10,Marca_4,Bebidas,115.92,110.82,0.0,1,0.783,0,1,0.8,0.933,0.771,0.404,91.755,1.2077815922837993,0,0,0.21286816341940543,0.4338185000599473,0.30053271372093787,0.05278062279970949,0.8537915129891761,1.408127797160117,2.4396186808208142,1.8889745528217647,0.3431861244800139,0.5699677229897004,0.5142772217430467,0.49043823464030434,0.500758707223467,0.3129741920146669,762.1602948925495,238.53650247965595,26434.61520479547,10679.584542737372
